Term	Frequency
itover		1
landif		1
tehuano		1
tramontane		1
elevates		1
rotors		1
halny		1
wiatr		1
zonda		1
koembang		1
norwest		1
sundowner		1
99mphas		1
altitudenowadays		1
nrel		1
120.8gigawatts		1
supergridwind		1
australiawind		1
aloftwind		1
statessound		1
streamas		1
boreas		1
notus		1
eurus		1
zephyrus		1
aeolus		1
astraeus		1
fathered		1
venti		1
fjin		1
njrr		1
dvrgar		1
dwarves		1
norri		1
austri		1
vestri		1
stags		1
yggdrasil		1
personify		1
stribog		1
directionskamikaze		1
blood-stint		1
fainted		1
mid-battle		1
whirled		1
compasses		1
rigging		1
waterfor		1
groundspeed		1
gradienthistorically		1
anuradhapura		1
1,200c		1
2,190f		1
sistan		1
vertical-axle		1
driveshafts		1
matting		1
gristmilling		1
horizontal-axle		1
1180s		1
ground-hugging		1
compressive-towers		1
kiteswind		1
snowkiting		1
landboarding		1
plantserosion		1
loessduring		1
americathere		1
calima		1
shamal		1
stateswind		1
dandelions		1
taraxacum		1
feathery		1
acer		1
sapindaceae		1
weedy		1
ruderal		1
tumbleweeds		1
anemophily		1
pollinated		1
togetherwind		1
twigs		1
windthrow		1
coastlinewind		1
hurl		1
sandblaster		1
occurredcattle		1
coverings		1
huddling		1
56kmhpikas		1
pebbles		1
cockroaches		1
cerci		1
9.3mph		1
glaucous		1
thick-billed		1
murreswind		1
howling		1
cavities		1
cableshigh		1
versaaustralias		1
50–58		1
5,000kmhwildfire		1
1000am		1
warmththe		1
atmospheresthe		1
igr		1
j17091-3624		1
20,000,000		1
32,000,000kmh		1
exobase		1
water-rich		1
hydrogenrather		1
particlesa		1
plasmaejected		1
890,000mph		1
kev		1
heliosphere		1
sunstrong		1
sublimates		1
250mph		1
840mph		1
540mph		1
890mph		1
560mph		1
670mph		1
11,000mph		1
5kms		1
landfallthese		1
errands		1
mealspost-disaster		1
livelihoodsa		1
homesone		1
stifling		1
filth		1
suicidesustainable		1
bridgette		1
meinhold		1
eco-friendly		1
affordability		1
repurposed		1
bale		1
sandbag		1
fast-changing		1
hemispheresthere		1
thermo-		1
upwells		1
oceandevoid		1
windwas		1
kuroshioin		1
diapycnal		1
mixingthe		1
discretely		1
t-s-diagram		1
salinitywarm		1
interstices		1
bruunt-visl		1
dwbcthe		1
stommel		1
arons		1
stommel-arons		1
steepnessthe		1
crevasses		1
greenland-scotland-ridge		1
shallows		1
straitin		1
polynyas		1
polynya		1
inclusions		1
dripping		1
rejectionthe		1
underflows		1
massesnote		1
-1.8c		1
rightformation		1
pacificat		1
atlanticdrawn		1
pacificcauses		1
halinity		1
circulationhence		1
circulationdirect		1
26.5n		1
uk-us		1
full-depth		1
basinwide		1
231pa		1
230th		1
ratiosthe		1
recirculating		1
generationall		1
occurswallace		1
schmitz		1
talley		1
bernadette		1
sloyan		1
rintoul		1
challengedlarge		1
low-density		1
agassiz		1
dryasin		1
freshening		1
impacteddownturn		1
nutrient-depleted		1
chlorophyll-athe		1
wind-water		1
lostthe		1
topographically-associated		1
broad-diffusive		1
interiorcoastal		1
winddeep		1
deaddetrital		1
chainthe		1
ofworldwide		1
luderitz		1
ccs		1
oceansupwelling		1
concentrationlarge-scale		1
abovesome		1
broad-scale		1
diffusively		1
occurupwelling		1
seasonably		1
anchoviesin		1
nino-southern		1
productivitychanges		1
locationssince		1
wasp-waist		1
copepods		1
gastropods		1
near-apex		1
higha		1
catchbesides		1
starve		1
reproductively		1
bio-diversity		1
quick-changing		1
ecosystemanother		1
seaestuaries		1
worldmost		1
river-eroded		1
10,000–12,000		1
water-circulation		1
salinethe		1
polychlorinated		1
biphenyls		1
radionuclides		1
diking		1
diversionthe		1
aestuarium		1
aestus		1
measurably		1
fjords		1
estuarydrowned		1
dollard		1
dutch-german		1
coastbar-built		1
locationsthese		1
semi-isolated		1
encloses		1
waysbarrier		1
carolinafjords		1
circulationfjord-type		1
fjord-type		1
norwaythese		1
riversin		1
baytidal		1
freshwater-seawater		1
homogenous		1
estuariesinverse		1
australiaestuary		1
mudflats		1
mudflat		1
developestuaries		1
black-tailed		1
godwit		1
estuariestwo		1
osmoconformers		1
osmoregulators		1
predation		1
sedimental		1
fluxphytoplankton		1
flushed		1
sedimentit		1
sedimentationof		1
estuariesas		1
metalssuch		1
bioaccumulation		1
muds		1
biofilm		1
upfor		1
soilestuaries		1
eutrophic		1
saltiness		1
isohaline		1
isohalesalinity		1
solutionseawater		1
35gkg		1
0.01gkg		1
200gkgwhatever		1
intercomparability		1
iapso		1
requirementmeasurement		1
usefor		1
springsthe		1
bicarbonates		1
investigatedthe		1
nonspecialistssalinities		1
titration-based		1
halide		1
measurementsa		1
19.37ppt		1
35.00ppt		1
35.2gkg		1
42.9		1
mscmlimnologists		1
limnologists		1
scma		1
70mgl		1
130scm		1
50–80scmdirect		1
densitymarine		1
metahaline		1
salinityhighly		1
brinesalinity		1
glasswort		1
saltwort		1
barilla		1
halophiles		1
euryhalinesalt		1
potabilitythe		1
subduct		1
toxicants		1
brieger		1
1849–1919toxins		1
macromolecules		1
botulinum		1
toxintoxins		1
poisonall		1
terminological		1
agentaccording		1
constitition		1
toxinsaccording		1
rickettsiae		1
recombinant		1
productiona		1
notableon		1
exotoxins		1
endotoxins		1
lysedthe		1
biotoxin		1
phytotoxins		1
biotoxinstoxins		1
virulence		1
pathogenicity		1
responsebiotoxins		1
proteinbiotoxins		1
functionssome		1
contextsenvironmental		1
toxins-related		1
bibliographies		1
tutorials		1
webtoxmap		1
toxmap		1
programsone		1
peptideprotein-based		1
silico		1
gajendra		1
singh		1
raghavas		1
serverwhen		1
non-technically		1
toxicant		1
generalin		1
quackery		1
auto-intoxication		1
monosodium		1
glutamate		1
msg		1
aspartame		1
hydron		1
non-aqueous		1
haqueous		1
litmus		1
acidusacre		1
acidiccommon		1
carboranes		1
boric		1
acidmodern		1
acidsmost		1
basehydronium		1
amines		1
atomsthe		1
acidan		1
moleculesh3o		1
h2ol		1
h2oldue		1
logarithm		1
7while		1
donates		1
tasteboth		1
acidbrnsted-lowry		1
nonaqueous		1
nh4cl		1
arrheniuss		1
definitionas		1
proton-transfer		1
tetrafluoroborate		1
electrophile		1
dissociate		1
oxalate		1
acidsreactions		1
protolysis		1
interconverted		1
protonation		1
hthe		1
log10		1
materialin		1
-ide		1
elementclassical		1
hi		1
hydrobromic		1
hbr		1
hclo4		1
ionizes		1
basestronger		1
acidssulfonic		1
oxyacids		1
toluenesulfonic		1
tosylic		1
functionalized		1
sulfonate		1
filterablesuperacids		1
fluoroantimonic		1
protonate		1
carbocationswhile		1
kamonoprotic		1
hacommon		1
monocarboxylic		1
hcooh		1
benzoic		1
c6h5coohpolyprotic		1
polybasic		1
polyprotic		1
donatea		1
ka2the		1
bisulfate		1
hso		1
h3a		1
ka3an		1
orthophosphoric		1
h3po4		1
h2po		1
hpo		1
orthophosphate		1
ionalthough		1
[h]		1
basesa		1
k2		1
bjerrum		1
-protic		1
-timeswhere		1
k0		1
k-terms		1
acidneutralization		1
waterneutralization		1
reactionneutralization		1
neutralizing		1
hydroxidein		1
lower-ph		1
formsolutions		1
solutionsthere		1
pickling		1
batterystrong		1
purifying		1
electrowinningin		1
esterified		1
estersacids		1
additives		1
preservatives		1
soda		1
preservative		1
picklestartaric		1
unripened		1
unripe		1
carambolas		1
acidascorbic		1
amla		1
gooseberry		1
guavacertain		1
acetylsalicylic		1
feversacids		1
digestion		1
bodyacids		1
alkylation		1
catalysismany		1
subunits		1
phospholipidsan		1
-amino		1
hydrogens		1
l-configuration		1
peptidoglycan		1
d-amino		1
-coo		1
-nh2		1
-nh		1
zwitterion		1
aspartic		1
phfatty		1
micelle		1
reactionsin		1
hydrolyze		1
pro-enzyme		1
pepsinogen		1
pepsin		1
ionit		1
o2cell		1
lipophilic		1
acyl		1
uncharged		1
antacids		1
intracellular		1
ibuprofen		1
acidsa		1
rso2–oh		1
radicala		1
r-cooh		1
o-hhalogenation		1
acidnormal		1
vinylogous		1
valleyon		1
jamaicaembedded		1
21despite		1
30hoursthe		1
nightbefore		1
292,000people		1
stormonce		1
70,000people		1
gullyhurricane		1
21.7		1
77houses		1
us$108.7million		1
passagehurricane		1
36,500houses		1
2,000square		1
400square		1
us$19.76million		1
us$9.88million		1
30,000cattle		1
100,000acres		1
lostthroughout		1
2002usdisidore		1
2,290,000m3		1
88.9billion		1
2.52109m3		1
rigoletes		1
15.97		1
360million		1
amounttypical		1
instrumentsin		1
includingmore		1
dataexcept		1
forecastinga		1
entitys		1
difficultpersonal		1
readouts		1
ingestiondistribution		1
customizable		1
userspersonal		1
submittal		1
displayedhome		1
barographs		1
airguide		1
stormoguidea		1
jilindras		1
02e		1
crowdsourcing		1
transcribes		1
shipsweather		1
nylon		1
polypropylene		1
quantitysynoptic		1
00h00		1
06h00		1
12h00		1
18h00		1
03h00		1
09h00		1
15h00		1
21h00		1
equatormeteorological		1
helens		1
monitoredother		1
surfaceel		1
february17		1
april1		1
78days		1
vanguard2		1
nimbus3		1
late1960s		1
early1970s		1
late1970s		1
2010sobservation		1
portionssome		1
includevisible-light		1
alignments		1
photosthe		1
informationeach		1
orbitinggeostationary		1
35,880km		1
22,300		1
wwwnoaagov		1
txseveral		1
goes-11		1
goes-west		1
new-generation		1
elektro-l		1
76e		1
mtsat-2		1
140e		1
meteosat-8		1
3.5w		1
meteosat-9		1
meteosat-6		1
63e		1
meteosat-7		1
57.5e		1
fengyun		1
fy-2e		1
86.5e		1
fy-2f		1
123.5e		1
fy-2g		1
105e		1
purposespolar		1
metop-a		1
metop-b		1
resurs		1
fy-3a		1
burn-offs		1
450-mile-high		1
sensorat		1
outstripping		1
doused		1
1991snowfield		1
hydrologist		1
floes		1
bergs		1
crafteven		1
nature-made		1
burn-off		1
400–700		1
nanometres		1
4.00		1
7.00		1
430–750		1
thzthe		1
campfires		1
firelight		1
squids		1
preythe		1
299,792,458		1
vacuumin		1
microwaves		1
wave–particle		1
physicsgenerally		1
carriesemr		1
conformation		1
retinal		1
visionthere		1
quantum-absorption		1
itabove		1
cornea		1
360nm		1
photon-absorption		1
lightvarious		1
313nmplant		1
photomorphogenesisthe		1
299,792,458ms		1
186,282		1
vacuumdifferent		1
ole		1
227,000,000msanother		1
hippolyte		1
313,000,000mslon		1
298,000,000ms		1
michelson		1
foucaults		1
299,796,000msthe		1
vacuumtwo		1
bose–einstein		1
condensate		1
rubidium		1
harvard–smithsonian		1
lightrefraction		1
snells		1
substancewhen		1
refractionthe		1
microscopes		1
refracting		1
manipulationthere		1
chromosphere		1
10,340		1
spectrumthe		1
micrometre		1
pure-blue		1
welders		1
425nm		1
radiationatoms		1
mercury-vapor		1
itselfso		1
maserdeceleration		1
bremsstrahlung		1
chemoluminescence		1
wakecertain		1
fluorescence		1
phosphorescence		1
phosphorescent		1
bombarding		1
cathodoluminescence		1
monitorscertain		1
lightwhen		1
very-high-energy		1
includelight		1
radiometry		1
555nm		1
wm2		1
photocell		1
charge-coupled		1
ccd		1
bothlight		1
one-milliwatt		1
pointer		1
piconewtons		1
1-mw		1
nanoelectromechanical		1
investigationalthough		1
nichols		1
backwardacting		1
briefin		1
sunin		1
optica		1
atomists		1
shoved		1
interspace		1
shove		1
lucretiuss		1
opticsin		1
tanmatra		1
atomicity		1
non-atomic		1
prthivi		1
pani		1
vishnu		1
purana		1
dignga		1
dharmakirti		1
momentary		1
energyren		1
1596–1650		1
al-haytham		1
witelo		1
grosseteste		1
mediadescartes		1
opticspierre		1
gassendi		1
1592–1655		1
atomist		1
gassendis		1
plenum		1
corpuscles		1
aethernewtons		1
opticks		1
hawking		1
ellisthe		1
tienne-louis		1
malus		1
biot		1
theoryto		1
1635-1703		1
micrographia		1
christiaan		1
1629-1695		1
three-coloured		1
leonhard		1
theoria		1
lucis		1
colorum		1
augustin-jean		1
wavelater		1
poisson		1
fresnels		1
whatsoeverthe		1
aether		1
michelson–morley		1
experimentnewtons		1
polarised		1
etherfaradays		1
self-propagating		1
hertzs		1
communicationsin		1
particle-theory		1
photonseventually		1
describable		1
1millimeter		1
pulsed		1
1050		1
photoninfrared		1
climateinfrared		1
rotational-vibrational		1
excites		1
rangeinfrared		1
night-vision		1
sensor-equipped		1
red-shifted		1
thermal-imaging		1
apparatusthermal-infrared		1
forecastinginfrared		1
spectrumsunlight		1
5,780		1
thermal-spectrum		1
1kilowatt		1
527		1
micrometerson		1
lawtherefore		1
sectionsa		1
lawnir		1
lwthe		1
cie		1
bandsiso		1
20473		1
schemeastronomers		1
followsthese		1
photometric		1
papersa		1
detectorsnear-infrared		1
1,050nm		1
ingaass		1
950nm		1
2,600nm		1
780nm		1
ir-filter		1
ir-passing		1
ir-glowing		1
foliagein		1
transmittingabsorbing		1
detectorsthe		1
deployedinfrared		1
re-radiated		1
ultraviolet-emitting		1
char		1
incandescently		1
25m		1
lawheat		1
pyrometersinfrared		1
in-the-dark		1
environmentinfrared		1
pyrometry		1
coststhermographic		1
900–14,000		1
0.9–14m		1
namea		1
mineralogical		1
measurementsthermal		1
thermographic		1
applicationsin		1
blockers		1
purple-white		1
ir-bright		1
spectroscopyinfrared		1
heat-seekers		1
backgroundinfrared		1
saunas		1
theminfrared		1
annealing		1
welding		1
heatingefficiency		1
materiala		1
8–15		1
atmosphereir		1
peripherals		1
photodiode		1
rc-5		1
sirc		1
infraredfree		1
gigabits		1
happeninfrared		1
1,330nm		1
1,550nm		1
fibersir		1
rias		1
beaminginfrared		1
vibrates		1
ch2		1
4000–400cm1		1
o-h		1
3200cm1in		1
wafer		1
forouhi-bloomer		1
sidewall		1
structuresweather		1
10.3–12.5m		1
ir5		1
channelshigh		1
dark-grey		1
10.3–11.5m		1
1.58–1.64m		1
studiedthese		1
gray-shaded		1
6.40		1
7.08m		1
radiationa		1
pyrgeometer		1
50mastronomers		1
heliumthe		1
astronomythe		1
protostars		1
glare		1
planetinfrared		1
cloaked		1
infraredinfrared		1
flatbed		1
inpaintinginfrared		1
reflectography		1
non-destructive		1
reflectograms		1
over-enthusiastic		1
practicesamong		1
arnolfini		1
1434		1
underdrawn		1
reflectogramsrecent		1
underpaintings		1
picassos		1
ironing		1
todaysimilar		1
papyri		1
dunhuang		1
thermoreceptive		1
pythonidae		1
boas		1
boidae		1
desmodus		1
rotundus		1
melanophila		1
acuminata		1
darkly		1
pigmented		1
pachliopta		1
aristolochiae		1
troides		1
rhadamantus		1
plateni		1
blood-sucking		1
triatoma		1
infestansalthough		1
780–1000nm		1
cichlid		1
phototactic		1
watersnear-infrared		1
photobiomodulation		1
chemotherapy-induced		1
ulceration		1
anti-herpes		1
cytochrome		1
oxidase		1
upregulation		1
mechanismsstrong		1
high-heat		1
ir-proof		1
goggles		1
calorific		1
centuryother		1
continuous-wave		1
electronicspulse-doppler		1
discriminating		1
phase-shift		1
detectordoppler		1
declassification		1
systemspulse-doppler		1
coherentearly		1
anspg-51b		1
degradationthe		1
anasg-18		1
radarcombination		1
xf-108		1
rapier		1
yf-12		1
chaff		1
weaknessesit		1
1970spulse-doppler		1
backpulse-doppler		1
targetradial		1
signalpulse-doppler		1
performancethe		1
iswheresothis		1
segregate		1
signalsrejection		1
selectable		1
aircraft-detection		1
illuminates		1
usedpulse-doppler		1
milehour		1
150kmhour		1
radarin		1
groundsurface		1
spacecraftclutter		1
pulse-amplitude		1
non-doppler		1
phenomenonpulse-doppler		1
corrects		1
followsclutter		1
60db		1
vulnerabilities		1
below-horizon		1
environmentpulse		1
25db		1
nap-of-the-earth		1
observability		1
weatheraudible		1
signalambiguity		1
timescan		1
exocet		1
environmentpulse-doppler		1
ansps		1
49v5		1
speedpulse-doppler		1
mtisearch		1
free-space		1
skiesthe		1
visibilitythe		1
reflectionsthe		1
reflectionspulse-doppler		1
performancepulse-doppler		1
3khz		1
30khz		1
50kmrange		1
medium-prf		1
classificationradar		1
sidelobe		1
operationtracking		1
monopulse		1
scanpulse-doppler		1
oscillator		1
objectscavity		1
crossed-field		1
amplifier		1
devicespulse-doppler		1
scalloping		1
scooped-out		1
performancescalloping		1
velocityringing		1
radarringing		1
waysfirst		1
reflectionsecond		1
minimizes		1
adjusts		1
dolph-chebyshev		1
alarmspulse-doppler		1
arraymechanical		1
frequenciesdoppler		1
phase-array		1
non-reciprocal		1
corrupts		1
50ns		1
time-constant		1
20db		1
visibilitymost		1
shifters		1
nanosecondsthe		1
moduleswherethe		1
systemschoppy		1
grating		1
lossy		1
visibilityrefraction		1
ducting		1
l-band		1
wave-guidesubclutter		1
surfacesubclutter		1
signala		1
trade-offs		1
sterile		1
followswherethis		1
in-band		1
reductiondetection		1
filers		1
processsignal		1
improvementsthese		1
astronomypulse-doppler		1
modesscan		1
thresholding		1
tracktrack		1
radarthe		1
operationlock		1
jammingweather		1
low-velocity		1
biologicals		1
decoy		1
jammingspecial		1
weatherhelicopters		1
a-scope		1
b-scope		1
c-scope		1
equipmenta		1
unlinked		1
locksimilar		1
criteriapulse-doppler		1
tracktracking		1
zeromulti-mode		1
semi-active		1
weatherduring		1
forecastsduring		1
rh		1
z-r		1
ekco		1
staggs		1
thunderstormbetween		1
developmentsbetween		1
researchersafter		1
nexrads		1
dual-polarizedsince		1
dataalso		1
multi-university		1
sociologists		1
undersampled		1
radarsweather		1
microsecond		1
stationshorter		1
small-particle		1
w-band		1
operationalradar		1
frustum		1
hbetween		1
listens		1
airwhere		1
299,792.458		1
kms		1
1.0003		1
airif		1
calculationsassuming		1
groundwherea		1
useddue		1
monostatic		1
transmittingreceiving		1
targetin		1
targetswhere		1
radiansin		1
equationswhich		1
tonotice		1
normalize		1
ratioreturn		1
1–10cm		1
10reflectivity		1
marshall-palmer		1
formprecipitation		1
asso		1
vradar		1
reflectivitystrong		1
belowwhen		1
dispatchers		1
levelsaircraft		1
aircraftsome		1
metarover		1
interpolations		1
outputuntil		1
careprecipitation		1
70-metresecond		1
pulsedoppler		1
nyquist		1
100–150km		1
18.75		1
doubledsome		1
prfsin		1
notedin		1
screenhowever		1
anglesin		1
downburstdroplets		1
reflectionif		1
zv		1
zh		1
wayswith		1
tornadoswith		1
fieldnoaa		1
dual-polametric		1
dual-polarmetric		1
dual-polarized		1
dual-polarizing		1
coverageall		1
availablesince		1
groundthis		1
radarppis		1
afflicted		1
shortcomingsusage		1
ppiin		1
cloudto		1
ppis		1
constant-altitude		1
datacappis		1
datasince		1
noisyreflectivity		1
noisy		1
imagesanother		1
zonesreal		1
stationsto		1
timeaviation		1
echotops		1
precipitationto		1
scannedwhen		1
radarsover		1
taskin		1
mindto		1
algorithmsmain		1
reflectivitymain		1
velocitiesthe		1
statecounty		1
periodradar		1
includingthese		1
echoesthe		1
normtemperature		1
conditionsthis		1
imagesthis		1
lapse-rate		1
areaif		1
employedhowever		1
mie		1
dbz		1
radarsas		1
scannedin		1
profiler		1
150-metre		1
30-metre		1
coarser		1
boundariesthis		1
colocated		1
tdwr		1
beamwidth		1
nexradresolution		1
gaussian		1
off-angles		1
lobes		1
eliminatedwhen		1
smearing		1
echoesthere		1
30–60kmhr		1
includesuch		1
kansasas		1
underestimationmicrowaves		1
benefitfor		1
stormsshorter		1
meteorologistdue		1
compesantion		1
servicesa		1
reflectivewhen		1
waterthis		1
abovean		1
diameterit		1
multiple-reflected		1
hailthese		1
propertyhowever		1
availableusing		1
thundertorm		1
consideredone		1
intra-cycle		1
meso-sailstimeliness		1
riken		1
aicsaircraft		1
arinc		1
radarunlike		1
servo		1
otherthere		1
receivertransmitter		1
12,500mhz		1
magnetrons		1
$1,700		1
timesdigital		1
eta		1
laterusing		1
non-weather		1
radarsdifferent		1
meteoritical		1
annuallymeteorite		1
infall		1
2–4kms		1
unnoticedit		1
perturbance		1
signaturean		1
redgreen		1
wakes		1
italicized		1
testin		1
find-site		1
photographing		1
discoveredthe		1
booty		1
petra		1
colossi		1
scaffolds		1
erecteda		1
accreted		1
galaxiesin		1
aquariumthis		1
perfusion		1
experimentationin		1
off-site		1
conservationin		1
mixturethere		1
intermediates		1
corey-chaykovsky		1
adrenochromein		1
reactorsin		1
cast-in-place		1
prefabricatedin		1
factory-made		1
stockpilesite		1
grading		1
infiltrating		1
firmware		1
reboot		1
heapsort		1
placein		1
editingajax		1
uiux		1
ajax		1
reloading		1
callback		1
rdbms		1
superimposing		1
pre-visualization		1
conceptin		1
geochemical		1
satellitesin		1
hayin		1
electrochemistry		1
electrodeelectrolyte		1
interphasial		1
sitein		1
si111		1
7x7		1
settingin		1
re-grant		1
wh-elements		1
wh-element		1
wh-movement		1
buyin		1
rosetta		1
courtyard		1
carcinoma		1
malignant		1
metastasized		1
surgeryin		1
abdominal		1
uranium-impregnated		1
extractionin		1
steamthe		1
sagd		1
steam-assisted		1
sandsin		1
airfuture		1
terraforming		1
minable		1
sabatier		1
magnetometerin		1
outgassingthe		1
unitsmanned		1
pilot-trainer		1
fifty-three		1
pb4y-2		1
buno		1
59415		1
seabefore		1
information--data		1
1946the		1
3,000mthe		1
statesamong		1
ginny		1
a-20		1
b-24		1
1944–1945		1
b-17		1
1945–1947		1
b-25		1
1951–1956		1
1956–1963		1
1954–1973		1
wc-130abeh		1
1965–2012the		1
betthat		1
at-6		1
jones-burdick		1
wearecoron		1
wc-121s		1
mh-1		1
1973–1975		1
turbine-propeller		1
wp-3a		1
orionin		1
38radio		1
actionswan		1
dobbins		1
keeslera		1
2012notesbibliography		1
high-wing		1
configured		1
deploymentreceiver		1
wb-47e		1
weatherbird		1
squadrononly		1
h-model		1
superfortresses		1
wb-50ds		1
66-plane		1
phaseout		1
awss		1
wb-50s		1
b-47s		1
re-activation		1
commands[n		1
single-manager		1
weather-mission		1
aircraftafter		1
wb-47s		1
1969[n		1
over-lapped		1
-e		1
-h		1
afrcthe		1
de-modification		1
3,050m		1
high-accuracy		1
sub-typesfive		1
c-130bs[n		1
eielson		1
systems[n		1
just-designated		1
c-130b		1
19701971		1
suite[n		1
noaa[n		1
b-models		1
forward-looking		1
side-looking		1
de-modified		1
t56-a-7a		1
4,050		1
lb		1
feetin		1
e-model		1
new[n		1
e-models		1
i-wars		1
system[n		1
1993three		1
udorn		1
models[n		1
11]with		1
1975a		1
wc-130h[n		1
t56-a-15		1
4,910		1
2,720gallons		1
10,300l		1
kias		1
2,250nautical		1
milesa		1
tracor		1
inactivated[n		1
13]		1
equipment[n		1
14]manned		1
inactivating		1
h-models		1
technologically-advanced		1
j-variantthe		1
procured[n		1
teething		1
problems[n		1
16]		1
c-130j		1
pilotaircraft		1
co-pilot		1
loadmaster		1
compartment[n		1
alsothe		1
minutethe		1
recco		1
arwo		1
windfinding		1
cylindrically-shaped		1
41cm		1
8.9cm		1
1.1kg		1
avaps[n		1
satellitebetween		1
sfmr		1
smurf		1
missiondata		1
reservelist		1
loadit		1
barber-pole		1
samplers		1
red-and-white		1
protrude		1
unique-looking		1
wingnoaa		1
gonzo		1
overhauls		1
propellerin		1
turbopropexhaust		1
50-100		1
fansthe		1
rpmlow		1
rpmhigh		1
enginesunlike		1
airstream		1
usepropellers		1
0.6-0.7		1
propfan		1
controllable-pitch		1
vaning		1
feathering		1
propellerwhile		1
shapewhile		1
truncating		1
180degrees		1
turboshaftalan		1
whittle		1
thrustthe		1
gyrgy		1
74.6kw		1
cs-1		1
bhp		1
ganz		1
400bhp		1
1942the		1
rb.50		1
derwent		1
2.41m		1
five-bladed		1
trents		1
ee227		1
trent-meteor		1
test-bed		1
certificated		1
dart-powered		1
four-engined		1
engined		1
siddeley		1
mamba-powered		1
boulton		1
balliol		1
motorenwerke		1
heinkel-hirth		1
jet-powered		1
stratofortress		1
nacelle		1
575mph		1
twin-turbine		1
r3y		1
tradewind		1
xt31		1
vultee		1
t56		1
t56s		1
pt6		1
turbine-powered		1
shaft-driven		1
kaman		1
k-225		1
kamans		1
k-125		1
synchropter		1
t50		1
1951compared		1
turbofans		1
725kmh		1
450mph		1
ceilingthe		1
kodiak		1
avgas		1
short-takeoff		1
requiredturboprop		1
tu-114		1
870kmh		1
541mph		1
l-188		1
europrop		1
tp400		1
megawatt-output		1
mw-output		1
d-27some		1
embraer		1
emb		1
swearingen		1
ma60		1
ma600		1
ma700		1
fokker		1
60janes		1
enya		1
r120		1
isron		1
2,031		1
3,270km		1
benbecula		1
5,500ft		1
1,680meters		1
aerosondes		1
penetrations		1
aerosonde-g		1
mid-endurance		1
55lb		1
25kg		1
electro-opticinfrared		1
laser-pointer		1
navair		1
mq-19		1
uplink		1
waypoints		1
ruggedized		1
engine-reliability		1
issuesby		1
fee-for-service		1
servicelycoming		1
el-005		1
plantcyclone		1
reconnaissancelaima		1
single-station		1
ridgein		1
surfacesabout		1
10seconds		1
700hpa		1
bewhen		1
regionsmall		1
wobbleshigh-speed		1
dropwindsonde		1
incorrectforecasts		1
7days		1
point12		1
60–70%		1
statistical-dynamic		1
extrapolating		1
problemtrack		1
forecastingthe		1
hurran		1
motiona		1
nhc73		1
nhc83		1
nhc91		1
nhc98		1
stifor		1
1971–1990		1
logistic		1
statistical-parametric		1
futureduring		1
quasi-lagrangian		1
qlm		1
welltested		1
ooyama		1
vicbar		1
cubic-b		1
spline		1
statiscal		1
arpege		1
aire		1
limitee		1
dynamique		1
initialisation		1
aladin		1
ncmwrf		1
gdaps		1
rdaps		1
kongchinas		1
orsm		1
multiscale		1
purposessome		1
12-hour-old		1
gfdi		1
modelusing		1
trackwise		1
cgun		1
tccn		1
tvcc		1
consensusin		1
navgem		1
forecastsfor		1
ivcn		1
ten-member		1
oceanatmosphere		1
coamps		1
afwa		1
modelno		1
multi-model		1
errorsthe		1
11-member		1
teps		1
132hours		1
non-perturbed		1
gsmthe		1
11global		1
bmrc		1
prvision		1
numrique		1
rpn		1
cyclonesthe		1
safa		1
72hour		1
safas		1
seasonthroughout		1
0.73		1
administrationpagasa		1
1965–2005		1
349		1
latertropical		1
us$5		1
damgaes		1
us$530		1
borneoon		1
caloy		1
extratropicalin		1
117.6		1
us$2.15		1
us$872		1
domeng		1
29the		1
haikou		1
309.7mm		1
8.6inches		1
kampung		1
bundu		1
houseson		1
chuukewiniar		1
1250pm		1
672		1
$4.4billion		1
gaemi		1
350pm		1
typhoonheavy		1
nt$73million		1
$450millionpagasa		1
bauhinia		1
720pm		1
660,000people		1
6maria		1
15.7in		1
izu		1
mai		1
venusthe		1
category5-equivalent		1
typhoonsaomai		1
utcbopha		1
11between		1
45.6mm		1
1.80in		1
0.48m		1
1.6ft		1
kau		1
8tropical		1
11w		1
post-operational		1
afterin		1
555am		1
morningthe		1
cergy-pontoise		1
surmised		1
timehong		1
460kilometres		1
transitionas		1
materialise		1
prefectureover		1
iriomote		1
248kmh		1
ulleungdohong		1
360kilometres		1
xisha		1
capricornus		1
chichi-jima		1
143mm		1
25on		1
seacraft		1
$7.2million		1
2006usdxangsane		1
neneng		1
macanese		1
puddingthe		1
33people		1
sago		1
palmon		1
21w		1
october17at		1
8.11in		1
58kmh		1
36mph		1
ompong		1
dayan		1
22w		1
985hpa		1
140-kn		1
1230pm		1
quirino		1
islandcimaron		1
dilasag		1
krona		1
us$350,000		1
queenie		1
jebi		1
seasonjust		1
95knots		1
upping		1
4-equivalent		1
casiguran		1
lingayen		1
lucap		1
alaminos		1
laterencountering		1
shearall		1
durio		1
zibethinus		1
thailandmoving		1
127kn		1
125kn		1
strengthpagasa		1
lagonoy		1
bondoc		1
marinduque		1
seaencountering		1
reorganise		1
trang		1
bn		1
padang		1
agency-rsmc		1
seniang		1
marshallese		1
linesignal		1
no.3		1
cebuleytesamar		1
provinceson		1
85-kn		1
advisorythe		1
usdtyphoon		1
segamat		1
wateron		1
12on		1
koreaa		1
cimaronwithin		1
sanba		1
maliksi		1
son-tinh		1
leepi		1
mangkhut		1
glenda		1
php1		1
maymay		1
respectivelythis		1
antarcticastarting		1
fijimany		1
